curve,bin_idx,prob_pred,prob_true,abs_error,signed_error
baseline,0,0.019496587649461945,0.01948270070540813,1.3886944053815437e-05,1.3886944053815437e-05
baseline,1,0.138791969947505,0.07042253521126761,0.0683694347362374,0.0683694347362374
baseline,2,0.2349309392944863,0.11627906976744186,0.11865186952704444,0.11865186952704444
baseline,3,0.3477265872546942,0.23809523809523808,0.1096313491594561,0.1096313491594561
baseline,4,0.4404351525706923,0.1,0.34043515257069235,0.34043515257069235
baseline,5,0.5584084136716996,0.25,0.3084084136716996,0.3084084136716996
baseline,6,0.6516861626806879,0.6363636363636364,0.015322526317051555,0.015322526317051555
baseline,7,0.7608475986308799,0.7619047619047619,0.0010571632738819448,-0.0010571632738819448
baseline,8,0.8576298649731342,0.9882352941176471,0.1306054291445129,-0.1306054291445129
baseline,9,0.9921982103800192,1.0,0.007801789619980792,-0.007801789619980792
calibrated_reweighted,0,0.023969406485571543,0.024489795918367346,0.0005203894327958022,-0.0005203894327958022
calibrated_reweighted,1,0.28571428571428564,0.3333333333333333,0.04761904761904767,-0.04761904761904767
calibrated_reweighted,2,0.3030013855537639,0.0,0.3030013855537639,0.3030013855537639
calibrated_reweighted,3,0.7699230229272891,0.75,0.01992302292728909,0.01992302292728909
calibrated_reweighted,4,0.8769886363636359,0.8125,0.06448863636363589,0.06448863636363589
calibrated_reweighted,5,0.9997782847674407,0.997289972899729,0.002488311867711701,0.002488311867711701
