curve,bin_idx,bin_lower,bin_upper,prob_pred,prob_true,n_samples,abs_error,signed_error
baseline,0,0.0,0.1,0.019496587649461952,0.01948270070540813,2977,1.3886944053822375e-05,1.3886944053822375e-05
baseline,1,0.1,0.2,0.1387919699475049,0.07042253521126761,142,0.06836943473623729,0.06836943473623729
baseline,2,0.2,0.30000000000000004,0.23493093929448622,0.11627906976744186,43,0.11865186952704436,0.11865186952704436
baseline,3,0.30000000000000004,0.4,0.3477265872546942,0.23809523809523808,21,0.1096313491594561,0.1096313491594561
baseline,4,0.4,0.5,0.4404351525706923,0.1,10,0.34043515257069235,0.34043515257069235
baseline,5,0.5,0.6000000000000001,0.5584084136716996,0.25,4,0.3084084136716996,0.3084084136716996
baseline,6,0.6000000000000001,0.7000000000000001,0.6516861626806879,0.6363636363636364,11,0.015322526317051555,0.015322526317051555
baseline,7,0.7000000000000001,0.8,0.7608475986308799,0.7619047619047619,21,0.0010571632738819448,-0.0010571632738819448
baseline,8,0.8,0.9,0.8576298649731336,0.9882352941176471,85,0.13060542914451345,-0.13060542914451345
baseline,9,0.9,1.0,0.9921982103800184,1.0,301,0.0078017896199815695,-0.0078017896199815695
