age_bin,bmi_cat,n,mean_proba
<40,Normal,381,0.0130122712880377
<40,Sobrepeso,119,0.014812198287211012
<40,Obeso,111,0.015207883797061336
40-49,Normal,33,0.07492814823610794
40-49,Sobrepeso,42,0.04482639086086385
40-49,Obeso,62,0.028504332052245545
50-59,Normal,41,0.08421374691224295
50-59,Sobrepeso,41,0.04641152871177355
50-59,Obeso,66,0.04244476848102072
60-69,Normal,59,0.07867171925813246
60-69,Sobrepeso,70,0.05653108608745376
60-69,Obeso,104,0.045210995760212924
70-79,Normal,29,0.061949305026579166
70-79,Sobrepeso,46,0.04373499748237152
70-79,Obeso,43,0.0385608953634622
80+,Normal,14,0.017893863936095687
80+,Sobrepeso,20,0.011664375114207695
80+,Obeso,16,0.007215862523026624
