feature,category,n,pos,neg,pos_rate,odds_ratio,weight
sex,female,18666,12308,6358,0.6593806921675774,1.1739602555437891,1.079510856025276
sex,male,14733,9158,5575,0.6215977737052875,0.8461685581936205,0.9172498345730674
race,asian,804,123,681,0.15298507462686567,0.09538341973188379,0.5090159694984657
race,black or african american,1949,352,1597,0.1806054386865059,0.1078429250649884,0.5114963923344753
race,other,948,0,948,0.0,0.0002693293847871324,0.5000000725383122
race,white,8465,2248,6217,0.26556408741878323,0.10737362526757546,0.5113976903437536
ethnicity,hispanic or latino,2599,109,2490,0.04193920738745671,0.019408814849706905,0.5003765602428383
ethnicity,not hispanic or latino,11866,2423,9443,0.2041968649924153,0.033500582545085235,0.5011210309101664
tobacco_smoking_status_any,0.0,4878,0,4878,0.0,3.363122857604523e-05,0.5000000011310596
tobacco_smoking_status_any,1.0,3944,701,3243,0.17773833671399594,0.09036177689385164,0.5080991193830131
