auroc,auprc,epoch
0.3620611035111719,0.46419291546305674,1
0.5704514363885088,0.5810760234914463,2
0.7104423164614683,0.729285928878547,3
0.8185134518923848,0.8640490517843914,4
0.8777929776561787,0.9150525245099641,5
0.9165526675786594,0.9393086546107469,6
0.945280437756498,0.9593227085108258,7
0.9635202918376653,0.9722166773501619,8
0.970360237118103,0.9774706897197649,9
0.9781121751025992,0.9829392278175679,10
0.9849521203830369,0.9878218327317444,11
0.9899680802553579,0.9917597331036144,12
0.9922480620155039,0.9936586608101032,13
0.9940720474236207,0.99522012321639,14
0.9963520291837665,0.9969874324792765,15
0.9972640218878249,0.9977136166513052,16
0.9986320109439124,0.9988463017182743,17
0.9995440036479708,0.9996229260935146,18
1.0,1.0000000000000002,19
1.0,1.0000000000000002,20
1.0,1.0000000000000002,21
1.0,1.0000000000000002,22
1.0,1.0000000000000002,23
1.0,1.0000000000000002,24
1.0,1.0000000000000002,25
1.0,1.0000000000000002,26
1.0,1.0000000000000002,27
1.0,1.0000000000000002,28
1.0,1.0000000000000002,29
